Movie Name,Rating(10),Genre,Language,Description,Duration (min)
The Amazing Spider-Man,7.0,Action,English,"Peter uncovers secrets about his parents and powers.",136
The Amazing Spider-Man 2,6.9,Action,English,"Spider-Man faces Electro and personal loss.",141
Logan,8.1,Action,English,"Wolverine protects a young mutant in his final journey.",137
Deadpool,8.0,Action,English,"A mercenary with dark humor becomes an unconventional hero.",108
Deadpool 2,7.8,Action,English,"Deadpool forms a team to protect a young mutant.",119
X-Men,7.4,Action,English,"Mutants struggle for coexistence in a human world.",104
X2,7.6,Action,English,"Mutants face a threat that endangers both sides.",134
X-Men: Days of Future Past,8.0,Action,English,"Mutants send Wolverine back in time to prevent extinction.",131
The Hunger Games,7.2,Action,English,"A brave girl volunteers for a deadly televised competition.",142
The Hunger Games: Catching Fire,7.5,Action,English,"Katniss becomes a symbol of rebellion.",146
The Hunger Games: Mockingjay Part 1,6.8,Action,English,"Katniss leads a revolution against the Capitol.",123
The Hunger Games: Mockingjay Part 2,6.5,Action,English,"The rebellion reaches its final and most dangerous stage.",137
Dune,8.1,Sci-Fi,English,"A young heir becomes leader in a desert planet’s struggle.",155
Dune Part Two,8.6,Sci-Fi,English,"Paul Atreides rises against oppressive forces.",166
Blade Runner 2049,8.0,Sci-Fi,English,"A detective uncovers secrets that threaten humanity’s future.",164
Arrival,8.0,Sci-Fi,English,"A linguist communicates with aliens to prevent global war.",116
Gravity,7.7,Sci-Fi,English,"A stranded astronaut struggles to survive after disaster.",91
Ad Astra,7.0,Sci-Fi,English,"A man travels through space searching for his missing father.",123
The Martian,8.0,Sci-Fi,English,"A stranded astronaut uses science to survive on Mars.",144
Lucy,6.4,Sci-Fi,English,"A woman gains enhanced abilities after a drug enters her system.",89
Bird Box,6.7,Thriller,English,"A mother navigates a world where sight triggers death.",124
Extraction,7.0,Action,English,"A mercenary undertakes a dangerous mission to rescue a child.",117
RRR,8.0,Action,Telugu,"Two revolutionaries forge an explosive friendship during British rule.",182
Baahubali: The Beginning,8.1,Action,Telugu,"A warrior rises to fulfill his destiny in a mythical kingdom.",158
Baahubali 2: The Conclusion,8.3,Action,Telugu,"The epic saga concludes with battles and revelations.",167
Pushpa: The Rise,7.8,Action,Telugu,"A smuggler climbs the ranks of a red sandalwood syndicate.",179
KGF Chapter 1,8.2,Action,Kannada,"A man rises from poverty to power in the gold mines.",155
KGF Chapter 2,8.4,Action,Kannada,"Rocky faces powerful enemies to protect his empire.",168
Kantara,8.2,Thriller,Kannada,"A forest officer confronts divine folklore and conflict.",148
Vikram,8.4,Action,Tamil,"An agent hunts masked criminals involved in drug syndicates.",172
Leo,7.4,Action,Tamil,"A café owner’s violent past resurfaces.",164
Master,7.3,Action,Tamil,"A professor is assigned to reform students at a juvenile home.",179
Jai Bhim,8.8,Drama,Tamil,"A lawyer fights for justice for tribal communities.",164
3 Idiots,8.4,Comedy,Hindi,"Three friends navigate college life and pressure.",170
Dangal,8.4,Drama,Hindi,"A father trains his daughters to become world-class wrestlers.",161
PK,8.1,Comedy,Hindi,"An alien questions human behavior and beliefs.",153
Bajrangi Bhaijaan,8.1,Drama,Hindi,"A man helps a lost Pakistani girl reunite with her family.",159
Drishyam,8.7,Thriller,Hindi,"A man uses wit to protect his family after a crime.",163
Zindagi Na Milegi Dobara,8.1,Drama,Hindi,"Three friends rediscover life on a trip to Spain.",155
Chhichhore,8.0,Comedy,Hindi,"A father reflects on college friendships and failures.",143
Koi Mil Gaya,7.0,Sci-Fi,Hindi,"A boy befriends an alien who changes his life.",171
War,6.9,Action,Hindi,"An agent hunts a rogue mentor across the globe.",154
Ek Tha Tiger,6.8,Action,Hindi,"A spy falls in love during a dangerous mission.",132
